Year,Month,Carrier,Carrier_Name,Arrival Flights,Delays,Employees,Passengers,Delays_Over_Flights,Employees_Over_Flights,Passengers_Over_Flights
2021,12,9E,Endeavor,21876,793,5046,1109664,0.036249771,0.230663741,50.72517828
2021,12,AA,American_Airlines,71824,4495,97881,12155584,0.062583538,1.362789597,169.2412564
2021,12,AS,Alaska_Airlines,16885,1430,17054,2318889,0.084690554,1.010008884,137.3342612
2021,12,B6,JetBlue_Airways,21181,2962,20680,3027871,0.139842312,0.976346726,142.9522213
2021,12,DL,Delta_Air_Lines,68537,5164,81679,10380082,0.075346163,1.191750441,151.4522375
2021,12,F9,Frontier_Airlines,13160,1254,5502,2055503,0.095288754,0.418085106,156.1932371
2021,12,G4,Allegiant_Air,10339,849,4707,1326080,0.082116259,0.455266467,128.2599865
2021,12,HA,Hawaiian_Airlines,6206,745,6599,735499,0.120045118,1.063325814,118.5141798
2021,12,MQ,Envoy_Air,22845,1040,15305,1263213,0.045524185,0.669949661,55.29494419
2021,12,NK,Spirit_Air_Lines,17985,1475,10433,3002407,0.082012788,0.580094523,166.9395051
2021,12,OH,PSA_Airlines,20535,1016,4378,1160815,0.049476504,0.213196981,56.52860969
2021,12,OO,SkyWest_Airlines,65939,9326,15205,3405345,0.141433749,0.230591911,51.64386782
2021,12,UA,United_Air_Lines,49541,4776,78340,8345907,0.096404998,1.581316485,168.4646454
2021,12,WN,Southwest_Airlines,97339,10923,55746,11866446,0.11221607,0.572699535,121.9084437
2021,12,YV,Mesa_Airlines,12702,1210,3041,848610,0.095260589,0.239411116,66.80916391
2021,12,YX,Republic_Airline,27593,1129,6076,1394445,0.040916174,0.220200776,50.53618671
2021,11,9E,Endeavor,21149,647,5124,1105468,0.030592463,0.242280959,52.27046196
2021,11,AA,American_Airlines,72908,4918,97526,11788921,0.067454875,1.337658419,161.6958496
2021,11,AS,Alaska_Airlines,16893,1004,17020,2292449,0.059432901,1.007517907,135.7040786
2021,11,B6,JetBlue_Airways,19625,2092,20549,2801500,0.106598726,1.047082803,142.7515924
2021,11,DL,Delta_Air_Lines,70361,3163,80827,10632829,0.044953881,1.148747175,151.1182189
2021,11,F9,Frontier_Airlines,12803,888,5539,1882496,0.069358744,0.432632977,147.0355385
2021,11,G4,Allegiant_Air,8999,809,4665,1194269,0.089898878,0.518390932,132.7113013
2021,11,HA,Hawaiian_Airlines,5749,283,6568,658061,0.049225952,1.142459558,114.4652983
2021,11,MQ,Envoy_Air,22326,821,15180,1238107,0.036773269,0.679924751,55.45583624
2021,11,NK,Spirit_Air_Lines,17441,995,9912,2922232,0.057049481,0.568316037,167.5495671
2021,11,OH,PSA_Airlines,19727,782,4546,1139819,0.039641101,0.230445582,57.77964211
2021,11,OO,SkyWest_Airlines,66279,5628,15293,3559169,0.084913774,0.230736734,53.69979933
2021,11,UA,United_Air_Lines,47212,2400,71849,7922218,0.050834534,1.521837668,167.8009404
2021,11,WN,Southwest_Airlines,97398,7708,55261,12038747,0.079139202,0.567373047,123.6036366
2021,11,YV,Mesa_Airlines,13454,1154,3131,916492,0.085773748,0.232718894,68.12041029
2021,11,YX,Republic_Airline,27548,987,6145,1397462,0.035828372,0.223065195,50.72825613
2021,10,9E,Endeavor,23482,795,5067,1337619,0.033855719,0.215782301,56.96358913
2021,10,AA,American_Airlines,73778,5524,97109,11533323,0.074873268,1.316232481,156.3246903
2021,10,AS,Alaska_Airlines,17848,964,16967,2256411,0.054011654,0.950638727,126.423745
2021,10,B6,JetBlue_Airways,19083,1821,20374,2814599,0.095425248,1.067651837,147.4924802
2021,10,DL,Delta_Air_Lines,70518,3550,79566,10619120,0.050341757,1.128307666,150.5873678
2021,10,F9,Frontier_Airlines,12987,802,5487,1947703,0.061754062,0.422499422,149.973281
2021,10,G4,Allegiant_Air,9313,777,4589,1171294,0.083431762,0.492752067,125.7697842
2021,10,HA,Hawaiian_Airlines,5856,274,6523,610000,0.046789617,1.113900273,104.1666667
2021,10,MQ,Envoy_Air,22776,899,15165,1281672,0.039471373,0.665832455,56.27291886
2021,10,NK,Spirit_Air_Lines,16858,901,9831,2721719,0.053446435,0.583165263,161.4496975
2021,10,OH,PSA_Airlines,20865,753,4539,1244422,0.036089145,0.217541337,59.64160077
2021,10,OO,SkyWest_Airlines,68988,6951,15379,3520572,0.100756653,0.222922827,51.03165768
2021,10,UA,United_Air_Lines,47757,2447,72639,7800734,0.051238562,1.521012626,163.3422116
2021,10,WN,Southwest_Airlines,103300,11968,54748,12111553,0.115856728,0.529990319,117.2463988
2021,10,YV,Mesa_Airlines,14610,1246,3175,980010,0.085284052,0.217316906,67.07802875
2021,10,YX,Republic_Airline,29086,1009,6037,1687339,0.034690229,0.2075569,58.01206766
2021,9,9E,Endeavor,21946,611,5029,1197764,0.027841064,0.229153376,54.57778183
